test,intent,question,answer,counter
,Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,52
,Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,53
,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,54
,Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,55
,Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,yes,56
,Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,57
,Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,yes,58
,Amedeo_Avogadro,What happened in 1833?,Avogadro had been recalled to Turin university,59
,Anders_Celsius,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,60
,Anders_Celsius,What is named after him?,The Celsius crater on the Moon,61
,Anders_Celsius,When did he publish a collection?,1733,62
,Anders_Celsius,Is it true that he published a collection in 1738?,No,63
,Anders_Celsius,Is it true that thermometer had 100 for the freezing point?,Yes,64
,Anders_Celsius,Was Celsius born in Uppsala in Sweden?,Yes,65
,Anders_Celsius,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,66
,Anders_Celsius,Is The Celsius crater on the Moon named after him?,Yes,67
,Anders_Celsius,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,68
,Anders_Celsius,The Celsius crater on the Moon is what?,named after him,69
,Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes,70
,Anders_Celsius,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,71
,Anders_Celsius,Was Celsius born in Uppsala in Sweden ?,Yes,72
,Anders_Celsius,Is the Celsius crater on the Moon named after him ?,Yes,73
,Anders_Celsius,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,74
,Anders_Celsius,What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,75
,Anders_Celsius,What happened in 1745?,The scale was reversed,76
,beetle,Are beetles insects?,Yes,77
,beetle,Are beetles insects?,Yes,78
,beetle,Can beetles be found in polar regions?,No,79
,beetle,Can beetles be found in polar regions?,No,80
,beetle,Do beetles antennae function primarily as organs of smell?,Yes,81
,beetle,Do beetles antennae function primarily as organs of smell?,Yes,82
,beetle,What are the three sections of a beetle?,"the head, the thorax, and the abdomen",83
,beetle,What are the three sections of a beetle?,"The head, the thorax, and the abdomen",84
,beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,85
,beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry,86
,beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,87
,beetle,Which type of beetle is a pest of potato plants?,Colorado potato beetle,88
,beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",89
,beetle,How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",90
,beetle,What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.",91
,beetle,What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates",92
,beetle,What are the similarities between beetles and grasshoppers?,mouthparts,93
,beetle,What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers,94
,beetle,Are certain species of beetles considered pests?,Yes,95
,beetle,Are certain species of beetles considered pests?,yes,96
,beetle,Is a beetle's general anatomy uniform?,Yes,97
,beetle,Is a beetle's general anatomy uniform?,yes,98
,beetle,Are beetles endopterygotes?,yes,99
,beetle,Are beetles endopterygotes?,yes,100
,beetle,How many species of beetles are there?,"350,000",101
,beetle,How many species of beetles are there?,"about 350,000",102
,beetle,When are sperm cells transferred to the female?,during pairing,103
,beetle,When are sperm cells transferred to the female?,During pairing,104
,beetle,What is the study of beetles called?,coleopterology,105
,beetle,What is the study of beetles called?,coleopterology,106
,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,107
,beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,108
,beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,no,109
,beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,yes,110
,beetle,Do carrion beetles eat dung?,no,111
,beetle,Do carrion beetles eat dung?,no,112
,beetle,What are prey of various animals including birds and mammals?,Beetles.,113
,beetle,What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",114
,beetle,Who or what vary greatly in form within the coleoptera?,Antennae.,115
,beetle,Are many beetles territorial?,Yes.,116
,beetle,Are beetles endopterygotes with complete metamorphosis?,Yes.,117
,beetle,Oxygen is what?,One kind of gas obtained via a tracheal system.,118
,beetle,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,119
,beetle,Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,120
,beetle,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,121
,beetle,May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,122
,beetle,Can beetles be found in almost all habitats?,Yes.,123
,beetle,What happened on plants and fungi?,They are food to beetles.,124
,Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,no,125
,Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,Yes,126
,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,127
,Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",Yes,128
,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,yes,129
,Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,Yes,130
,Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,131
,Calvin_Coolidge,When did he drop John from his name?,Upon graduating from college,132
,Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,1905,133
,Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,134
,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,135
,Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties""",136
,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",137
,Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts to take up the practice of law",138
,Calvin_Coolidge,Of what state was Coolidge governor?,MassachuS08_setts,139
,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,140
,Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,141
,Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,No,142
,Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,Yes,143
,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,144
,Calvin_Coolidge,Was Calvin Coolidge Republican?,Yes,145
,Calvin_Coolidge,Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,146
,Calvin_Coolidge,Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,147
,Calvin_Coolidge,When was Coolidge born?,July 4 1872,148
,Calvin_Coolidge,When was Coolidge born?,"Plymouth, Windsor County, Vermont",149
,Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,Plymouth,150
,Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch,151
,Calvin_Coolidge,Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",152
,Calvin_Coolidge,Which state were Coolidge born in?,Vermont,153
,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,154
,Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,No,155
,Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,156
,Calvin_Coolidge,Did Coolidge get in Amherst College?,Yes,157
,Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,158
,Calvin_Coolidge,What caused Calvin Jr.'s death?,Heart attack,159
,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,No,160
,Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,no,161
,Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,162
,Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,no,163
,Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,Yes,164
,Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,yes,165
,Calvin_Coolidge,What year did Coolidge open his own law office?,1898,166
,Calvin_Coolidge,What year did Coolidge open his own law office?,1898,167
,Calvin_Coolidge,What fraternity was Coolidge a member of?,Phi Gamma Delta,168
,Calvin_Coolidge,What fraternity was Coolidge a member of?,phi gamma delta,169
,Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,170
,Calvin_Coolidge,In 1905 Coolidge met and married whom?,Grace Anna Goodhue,171
,Calvin_Coolidge,Why did Coolidge not attend law school?,It was too expensive,172
,Calvin_Coolidge,Why did Coolidge not attend law school?,cost,173
,Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,No,174
,Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,no,175
,Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,176
,Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,177
,Canada,Did France cede nearly all of its colonies in Europe in 1763?,Yes.,178
,Canada,Is Canada a member of the OECD?,Yes.,179
,Canada,Is Canada a member of the OECD?,yes,180
,Canada,Is Canada's official language Zulu?,No.,181
,Canada,Is Canada's official language Zulu?,no,182
,Canada,What is one significant non-official language?,Chinese.,183
,Canada,What is one significant non-official language?,Chinese,184
,Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,185
,Canada,What was the Consitution Act formerly called?,The British North America Act.,186
,Canada,What was the Consitution Act formerly called?,British North America Act,187
,Canada,Which countries established colonies in Canada?,France and Britain.,188
,Canada,Which countries established colonies in Canada?,Fance and Britain,189
,Canada,Which countries established colonies in Canada?,NULL,190
,Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",191
,Canada,How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",192
,Canada,What percentage of the population don't speak English or French at home?,28%,193
,Canada,What percentage of the population don't speak English or French at home?,1.5%,194
,Canada,Is Canada bilingual?,Yes.,195
,Canada,Is Canada bilingual?,"Yes, it is.",196
,Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,197
,Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"No, it did not.",198
,Canada,Is an official language of Canada German?,No.,199
,Canada,Is an official language of Canada German?,"No, it is not.",200
,Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,201
,Canada,How many provinces and territories does Canada have?,Ten provinces and three territories,202
,Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",203
,Canada,What is Canada's national unemployment rate?,"In October 2007, Canada's national unemployment rate is 5.9%.",204
,Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,205
,Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,206
,Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",207
,Canada,What is the largest country in the world?,Russia.,208
,Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",209
,Canada,What is the largest religious group in Canada?,Christian,210
,Canada,When did Canada have one of the largest armed forces in the world?,1944.,211
,Canada,When did Canada have one of the largest armed forces in the world?,World War II.,212
,Canada,What have been inhabited for millennia by aboriginal peoples?,The lands,213
,Canada,European books and maps began referring to this region as Canada in what year?,1545,214
,Canada,What was Canada's most important industry until the 1800s?,The fur trade,215
,Canada,Is it true that it angered many residents of the thirteen colonies?,yes,216
,Canada,How do cuba and declining participation relate?,Canada maintains full relations with both.,217
,Canada,Is it true that provinces have a large degree of autonomy?,yes,218
,Canada,What did Canada adopt in 1965?,The Maple Leaf Flag,219
,Canada,What arrived in Britain?,The first Canadian Army units in WW II,220
,Canada,Are Canada 's two official languages English and French ?,yes,221
,Canada,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,222
,Canada,Is Canada a geographically vast and ethnically diverse country ?,yes,223
,Canada,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,224
,Canada,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,225
,Canada,Did continental European immigrants not S08_settle the prairies ?,no,226
,Canada,Is it the world 's second largest country by total area?,yes,227
,Canada,What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity",228
,duck,Are ducks in the Arctic Northern Hemisphere migratory?,Some are,229
,duck,Are ducks in the Arctic Northern Hemisphere migratory?,yes,230
,duck,Is a drake a male?,Yes,231
,duck,Is a drake a male?,yes,232
,duck,"Do all ducks ""quack""?",No,233
,duck,"Do all ducks ""quack""?",no,234
,duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,235
,duck,What animal attracts the most humor and silliness?,The duck,236
,duck,What animal attracts the most humor and silliness?,the duck,237
,duck,What is an economic use of a duck?,Meat,238
,duck,What is an economic use of a duck?,being farmed for their meat,239
,duck,Who is Daffy Duck?,A silly cartoon character,240
,duck,Who is Daffy Duck?,a silly cartoon character,241
,duck,What makes it more difficult for a diving duck to fly?,They are heavier,242
,duck,What makes it more difficult for a diving duck to fly?,they are heavier,243
,duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",244
,duck,Do ducks forage underwater?,yes,245
,duck,Do ducks forage underwater?,Diving ducks and sea ducks forage underwater,246
,duck,"Do all ducks ""quack""?",no,247
,duck,"Do all ducks ""quack""?",No,248
,duck,Is foie gras often made from ducks?,yes,249
,duck,Is foie gras often made from ducks?,Yes,250
,duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",251
,duck,What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers",252
,duck,What kind of ducks feed on land?,Dabbling ducks,253
,duck,What kind of ducks feed on land?,Dabbling ducks feed on land,254
,duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",255
,duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",256
,duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,257
,duck,What does the word duck mean?,to bend down low as if to get under something,258
,duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.",259
,duck,What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters",260
,duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",261
,duck,How does a Mallard's tongue work?,It uses short spikes to push struggling prey and other food down its throat,262
,duck,Are diving ducks heavier tha dabbling ducks?,Yes,263
,duck,Are diving ducks heavier tha dabbling ducks?,Yes,264
,duck,Are adult ducks fast fliers?,Yes,265
,duck,Are adult ducks fast fliers?,Yes,266
,duck,Are ducks an accepted presence in some populated areas?,Yes,267
,duck,Are ducks an accepted presence in some populated areas?,Yes,268
,duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",269
,duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",270
,duck,Why are ducklings particularly vulnerable?,Their inability to fly.,271
,duck,Why are ducklings particularly vulnerable?,their inability to fly makes them easy prey,272
,duck,What are some economic uses for duck?,"Meat,eggs,feathers",273
,duck,What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)",274
,duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,275
,duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whale's baleen,276
,duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,277
,duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,278
,duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",279
,duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",280
,Egypt,Is Egypt bordered by the Gaza Strip?,yes,281
,Egypt,Is Egypt bordered by the Gaza Strip?,Yes,282
,Egypt,Is Egypt the most populated country in Africa?,no,283
,Egypt,Is Egypt the most populated country in Africa?,No,284
,Egypt,Does Egypt have political influence in the Middle East?,yes,285
,Egypt,Does Egypt have political influence in the Middle East?,Yes,286
,Egypt,When was the Six Day War?,1967,287
,Egypt,When was the Six Day War?,1967,288
,Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism",289
,Egypt,What religions has Egypt outlawed?,"all religions and belief except Islam, Christianity and Judaism",290
,Egypt,What is the poulation of Egypt?,more than 78 million,291
,Egypt,What is the poulation of Egypt?,78 million people,292
,Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",293
,Egypt,Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there,294
,Egypt,Are there a large number of Jews living in Egypt today?,no,295
,Egypt,Are there a large number of Jews living in Egypt today?,No,296
,Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,297
,Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom,298
,Egypt,Is Egypt in Asia?,No.,299
,Egypt,Does Egypt receive the least rainfall in the world?,Yes.,300
,Egypt,Does Egypt receive the least rainfall in the world?,Yes,301
,Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes.,302
,Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes,303
,Egypt,Since when has Egypt been a republic?,June 18 1953.,304
,Egypt,Since when has Egypt been a republic?,June 18 1953,305
,Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,306
,Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom,307
,Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.",308
,Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel",309
,Egypt,What is the estimated population of Egypt?,More than 78 million.,310
,Egypt,What is the estimated population of Egypt?,78 million,311
,Egypt,Does snow fall in Egypt?,Yes.,312
,Egypt,Does snow fall in Egypt?,Yes,313
,Egypt,When did organized agriculture appear in the Nile Valley?,6000 BC.,314
,Egypt,When did organized agriculture appear in the Nile Valley?,About 6000 BC,315
,elephant,Are elephants the largest land animals alive today?,yes,316
,elephant,Are elephants the largest land animals alive today?,yes,317
,elephant,Can an elephant kill a rhinoceros?,yes,318
,elephant,Can an elephant kill a rhinoceros?,yes,319
,elephant,Are elephants good swimmers?,yes,320
,elephant,Are elephants good swimmers?,yes,321
,elephant,How many living species of African Elephants are there?,2,322
,elephant,How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species.",323
,elephant,How long may elephants live?,70 years,324
,elephant,How long may elephants live?,"As long as 70 years, sometimes longer.",325
,elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,326
,elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.,327
,elephant,How many living species of Asian Elephants are there?,1,328
,elephant,How many living species of Asian Elephants are there?,one,329
,elephant,How much do elephants weight at birth?,120 kilograms,330
,elephant,How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).,331
,elephant,What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,332
,elephant,What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which pasS08_seth all others in wit and mind.""",333
,elephant,Are elephant populations in West Africa generally small and fragmented?,yes,334
,elephant,Are elephant populations in West Africa generally small and fragmented?,Yes,335
,elephant,Is the Asian elephant larger than the African?,no,336
,elephant,Is the Asian elephant larger than the African?,Sometimes,337
,elephant,Is an elephant's skin tough?,yes,338
,elephant,Is an elephant's skin tough?,Yes,339
,elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound,340
,elephant,How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound),341
,elephant,When do African elephants lie down?,when they are sick or wounded,342
,elephant,How long is the elephant's gestation period?,22 months,343
,elephant,How long is the elephant's gestation period?,22 months,344
,elephant,How many species of African elephants have been proposed?,three,345
,elephant,How many species of African elephants have been proposed?,three,346
,elephant,What are the elephant's ears important for?,temperature regulation,347
,elephant,What are the elephant's ears important for?,temperature regulation,348
,elephant,What land animal has the largest brain?,elephant,349
,elephant,What land animal has the largest brain?,The elephant,350
,elephant,Are elephants mammals?,yes,351
,elephant,Are elephants mammals?,Yes,352
,elephant,Have elephants been used as working animals?,yes,353
,elephant,Have elephants been used as working animals?,Yes,354
,elephant,Do they prefer forested areas?,Yes,355
,elephant,Do they prefer forested areas?,Yes,356
,elephant,What is the world population of Asian elephants?,60000,357
,elephant,What is the world population of Asian elephants?,"The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000",358
,elephant,What part of an elephant is very important for temperature regulation?,Ears,359
,elephant,What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.,360
,elephant,Where was the largest elephant ever recorded shot?,Angola,361
,elephant,Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.,362
,elephant,Is an Asian elephant smaller than an African elephant?,yes,363
,elephant,Is an Asian elephant smaller than an African elephant?,Yes,364
,elephant,What land animal is larger than an elephant?,None,365
,elephant,What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",366
,elephant,Has tusklessness become a rare abnormality?,No,367
,elephant,Has tusklessness become a rare abnormality?,"No, tusklessness has become a widespread hereditary trait. ",368
,Finland,Were the treaties signed in 1947 and 1948 with the Ukraine?,no,369
,Finland,Were the treaties signed in 1947 and 1948 with the Ukraine?,No,370
,Finland,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,371
,Finland,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,Yes,372
,Finland,Is the most read newspaper in Finland Taloussanomat?,no,373
,Finland,Is the most read newspaper in Finland Taloussanomat?,No,374
,Finland,Which Russian army general conquered Finland in 1809?,Alexander I,375
,Finland,Which Russian army general conquered Finland in 1809?,Alexander I,376
,Finland,What is the life expectancy for men in Finland?,75 years,377
,Finland,What is the life expectancy for men in Finland?,75 years,378
